Codi,Latitud,Longitud,Nom,Adreça,Municipi,DM,Comarca,ST,SE,Naturalesa,TipusCentre,Estudis,Web,Logo,Web-Nodes,Web-Propi,Telefons,Mail,Twitter,Instagram,Codi-SE,Codi-SEZ
08017918,41.602028813,2.295786976,Escola Granullarius,"c. Maresme, 2 - 08402 Granollers",Granollers,,Vallès Oriental,MVO,SE del Vallès Oriental I,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipgranullarius,https://drive.google.com/thumbnail?id=1GskP852HQhRPCCyEMWW2-0HCmcl8gbs_,https://agora.xtec.cat/ceipgranullarius,,"938705195, 938705195",a8017918@xtec.cat,,,MVO04,08870202
08017931,41.606639857,2.282537706,Institut Antoni Cumella,"c. Roger de Flor, s/n - 08401 Granollers",Granollers,,Vallès Oriental,MVO,SE del Vallès Oriental I,Públic,INS,"ESO,BATX",https://agora.xtec.cat/iesacumella,https://drive.google.com/thumbnail?id=1HX4tU8L-ey5c030SxtGII7SoimSNu7w0,https://agora.xtec.cat/iesacumella,,"938794172, 938793005",a8017931@xtec.cat,@INSACumella,,MVO04,08870202
08017979,41.733492062,2.501282549,Escola Aqua Alba,"c. Eugeni d'Ors, 15 - 08474 Gualba",Gualba,,Vallès Oriental,MVO,SE del Vallès Oriental III,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolaaquaalba,https://drive.google.com/thumbnail?id=1uJ8kCmZT8X7CHH2ADjB7D7wOgw4bBUpG,https://agora.xtec.cat/escolaaquaalba,,"938487240, 938487240",a8017979@xtec.cat,,,MVO06,08870204
08017992,41.676242593,1.767486503,Escola Montserrat,"c. Marganell, s/n - 08253 Sant Salvador de Guardiola",Sant Salvador de Guardiola,,Bages,CCE,SE del Bages,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipmontserrat-ssg,https://drive.google.com/thumbnail?id=1nBed5RIum-3cqjCmrcpjmTI5d0PdoI_9,https://agora.xtec.cat/ceipmontserrat-ssg,,"938354040, 938358236",a8017992@xtec.cat,,,CCE02,08870201
08018005,42.231294387,1.879069566,Escola Sant Llorenç,"c. Carrilet, 1 - 08694 Guardiola de Berguedà",Guardiola de Berguedà,,Berguedà,CCE,SE del Berguedà,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipsantllorenc,https://drive.google.com/thumbnail?id=1yuysFdpbTGr4ydTv297pb9OAYrsXoj8e,https://agora.xtec.cat/ceipsantllorenc,,"938227274, 938227274",a8018005@xtec.cat,,,CCE03,08870213
08018017,42.222492,1.892754,Escola L'Albiol - ZER Alt Berguedà,"c. Escoles, s/n - 08694 Sant Julià de Cerdanyola",Sant Julià de Cerdanyola,,Berguedà,CCE,SE del Berguedà,Públic,ESC,"EINF2C,EPRI",,,,,938227306,a8018017@xtec.cat,,,CCE03,08870213
08018029,41.947192079,2.241442068,Escola Les Escoles,"c. Vallès, s/n - 08503 Gurb",Gurb,,Osona,CCE,SE d'Osona,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceiplesescolesdegurb,https://drive.google.com/thumbnail?id=1pTnLndrOIBvQKtgrG94IWYlWAqJ1tZzk,https://agora.xtec.cat/ceiplesescolesdegurb,,"938861056, 938891273",a8018029@xtec.cat,,,CCE04,08870208
08018066,41.372966528,2.110732683,Escola Menéndez Pidal,"c. Pedraforca, 31 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-menendezpidal-hospitalet,https://drive.google.com/thumbnail?id=1gAR0k2yuwg52LFBQXd-HyH2q7R3zSG7U,https://agora.xtec.cat/ceip-menendezpidal-hospitalet,,"934404811, 934404811",a8018066@xtec.cat,,,BCO02,08870210
08018078,41.351482851,2.107696894,Escola Bellvitge,"c. Prat, 43-47 - 08907 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/esc-bellvitge,https://drive.google.com/thumbnail?id=1I3HP5b4e42qHG5OHGdAZadRRxLSQ9sds,https://agora.xtec.cat/esc-bellvitge,http://www.escolamarededeudebellvitge.cat,"933351139, 933351139",a8018078@xtec.cat,@MDBellvitge,,BCO02,08870210
08018091,41.374283832,2.122782058,Escola Pep Ventura,"pl. Guernica, s/n - 08903 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escpepventura,,https://agora.xtec.cat/escpepventura,,"934493744, 934493744",a8018091@xtec.cat,,,BCO02,08870210
08018145,41.368531814,2.109684911,Escola Pau Vila,"c. Menorca, 1-3 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-pauvila-hospitalet,https://drive.google.com/thumbnail?id=14NGYtv0bQV3gnMFuAhaUqWYuuX7Fpi9P,https://agora.xtec.cat/ceip-pauvila-hospitalet,,"934490488, 934490488",a8018145@xtec.cat,,,BCO02,08870210
08018157,41.369311349,2.12240796,Escola Santiago Ramon y Cajal,"c. Albareda, 2 - 08904 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceip-santiagoramonycajal,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aN3FwSnFYU21kaFU,https://agora.xtec.cat/ceip-santiagoramonycajal,https://escolasantiagoramonycajal.cat,"934492716, 934492716",a8018157@xtec.cat,@escolaSRC,,BCO02,08870210
08018273,41.374794179,2.103566734,Norai,"c. Floridablanca, 7-9 - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO",,,,,"934385327, 934373138",a8018273@xtec.cat,,,BCO02,08870210
08018303,41.362914967,2.098340484,Alpes,"Riera de la Creu, 85 - 08901 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",,,,,"933378340, 933378340",a8018303@xtec.cat,,,BCO02,08870210
08018315,41.349840805,2.114169897,Pare Enric d'Ossó,"av. Amèrica, 5-9 - 08907 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO,BATX",https://bellvitge.escolateresiana.com,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8adHVHU3JwUS1CTUU,,https://bellvitge.escolateresiana.com,"933352662, 933351099",a8018315@xtec.cat,@FET_Bellvitge,,BCO02,08870210
08018339,41.366604476,2.126327004,Azorín,"c. Anselm Clavé, 6-8 - 08902 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,ESC,"EINF1C,EINF2C,EPRI",https://www.escolaazorin.com,https://drive.google.com/thumbnail?id=1_PWQvJjN4p15qXoqH0xJjO_s18PpWWWH,,https://www.escolaazorin.com,"933319997, 933320546",a8018339@xtec.cat,@EscolaAzorin,,BCO02,08870210
08018340,41.369039852,2.100257346,Alegre,"c. Andorra, 23 - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",https://agora.xtec.cat/escolaalegre,https://drive.google.com/thumbnail?id=1Gn5DMXfYRpLLVGH3BtcfHj88-eRygT0t,https://agora.xtec.cat/escolaalegre,,"934376745, 934384048",a8018340@xtec.cat,@EscolaAlegreH,,BCO02,08870210
08018352,41.365515509,2.127605424,Casal dels Àngels,"c. Paretó, 37 - 08902 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",,,,,"933314596, 933321342",a8018352@xtec.cat,,,BCO02,08870210
08018376,41.371429662,2.11126102,La Florida,"c. Bòbiles, 68 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO",,,,,"934404690, 934404690",a8018376@xtec.cat,,,BCO02,08870210
08018391,41.370930434,2.111591117,Sant Gervasi,"c. Bòbiles, 39-41 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO",,,,,"934491777, 934497623",a8018391@xtec.cat,,,BCO02,08870210
08018406,41.362136551,2.101765922,Canigó,"c. Mossèn Lluís Pañella, 5 - 08901 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO",,,,,"933389839, 933370725",a8018406@xtec.cat,,,BCO02,08870210
08018455,41.366420598,2.088669698,Sanfeliu,"c. Cornellà, 4 - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,ESC,"EINF1C,EINF2C,EPRI",,,,,"933377889, 933380042",a8018455@xtec.cat,,,BCO02,08870210
08018467,41.369047369,2.101430026,Fax,"av. Electricitat, 14-16 - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO",,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aVm1iTmp6aERqdWM,,,"934386104, 934386104",a8018467@xtec.cat,,,BCO02,08870210
08018561,41.355883055,2.121114028,Xaloc,"C. de Can Tries, 4-6 - 08902 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EPRI,ESO,BATX,CFPM,CFPS",https://www.xaloc.org,https://drive.google.com/thumbnail?id=1FlMWAraSD7-C06EOHadqiiE8vO7kBr3P,,https://www.xaloc.org,"933351600, 933350493",a8018561@xtec.cat,,,BCO02,08870210
08018583,41.370690488,2.125818077,Cultura,"c. Martí i Julià, 149-151 - 08903 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",,,,,934313039,a8018583@xtec.cat,,,BCO02,08870210
08018601,41.375294086,2.102659082,Sant Josep Obrer,"c. Covadonga, s/n - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO,BATX,CFPM,CFPS",https://www.stjosep.org,https://drive.google.com/thumbnail?id=1bRwSTBZhMaaioD9szrb7MA3upNtUtcHN,,https://www.stjosep.org,"934381745, 934377627",a8018601@xtec.cat,@santjosepobrer,,BCO02,08870210
08018777,41.367709527,2.113079492,Balaguer,"av. del Nord, 8-10 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aOUpsSnFpZ0UxWDQ,,,"933334116, 933334091",a8018777@xtec.cat,,,BCO02,08870210
08018807,41.371626968,2.123902993,Montessori,"c. Mare de Déu dels Desemparats, 43 - 08903 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO",,,,,"934496745, 934485019",a8018807@xtec.cat,,,BCO02,08870210
08018871,41.349862343,2.107290875,Joan XXIII,"av.Mare de Déu de Bellvitge,100-110 - 08907 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO,BATX,CFPM,CFPS,PFI",http://www.j23.fje.edu/ca,https://drive.google.com/thumbnail?id=1H32wEW4u5TrD1AVD8DxCkVbY4BSWgsFj,,http://www.j23.fje.edu/ca,"933351543, 933356670",a8018871@xtec.cat,@JesuitesEdu,jesuitesedu,BCO02,08870210
08018901,41.357390362,2.119036853,Pineda,"c. dels Joncs, 1 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EPRI,ESO,BATX,CFPM,CFPS",,,,,"932637990, 933355453",a8018901@xtec.cat,,,BCO02,08870210
08018972,41.371437856,2.100711913,Utmar,"c. Mina, 24 - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,ESC,"EINF2C,EPRI",https://www.utmar.cat,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aUDlPVmRXV0xBbU0,,https://www.utmar.cat,"934370986, 933716058",a8018972@xtec.cat,@EscolaUtmar,escolautmar,BCO02,08870210
08019009,41.370651415,2.123233109,Sant Jaume de la FEP,"c. Santiago Apóstol, 36-38-40 - 08903 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO,BATX",,,,,"934497196, 933335536",a8019009@xtec.cat,,,BCO02,08870210
08019058,41.360647493,2.098398436,Tecla Sala,"c. Tecla Sala, 18 - 08901 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,IE,"EINF2C,EPRI,ESO,BATX",http://www.teclasala.cat,https://drive.google.com/thumbnail?id=1pl9mTGaGEeTrfBPbjHolP4noVsHvmFut,,http://www.teclasala.cat,"933373566, 932612938",a8019058@xtec.cat,@Tecla_Sala,,BCO02,08870210
08019149,41.354664281,2.112096057,Escola Bernat Metge,"c. França, 80-88 - 08907 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipbernatmetge,https://drive.google.com/thumbnail?id=1B4vXTfTJIZ5jUdNTE_4uPWDd0kXYoVhj,https://agora.xtec.cat/ceipbernatmetge,,"933352063, 933352063",a8019149@xtec.cat,@EscolaBM,,BCO02,08870210
08019150,41.371711476,2.10816251,San Jaime,"av. Miraflores, 71 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Privat,ESC,"EINF2C,EPRI",,,,,"934407929, 934407929",a8019150@xtec.cat,,,BCO02,08870210
08019198,41.363365881,2.124116156,Escola Pompeu Fabra,"c. Pi i Margall, 27 - 08902 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://sites.google.com/a/xtec.cat/escola-pompeu-fabra-l-h,https://drive.google.com/thumbnail?id=16eNDgBx0WIyeuPwwCcGHmZbxodUYOYS6,,https://sites.google.com/a/xtec.cat/escola-pompeu-fabra-l-h,"934221303, 934221303",a8019198@xtec.cat,@epompeufabra,,BCO02,08870210
08019216,41.362736606,2.096319988,Escola Busquets i Punset,"av. Josep Tarradellas i Joan, 226 - 08901 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escbusquetsipunset,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aRTJBcFhQRGdZNFU,https://agora.xtec.cat/escbusquetsipunset,,"933372599, 933372599",a8019216@xtec.cat,,,BCO02,08870210
08019231,41.364316832,2.12942569,Escola Milagros Consarnau,"c. Aprestadora,30 - 08902 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/ceipmilagrosconsarnau,https://drive.google.com/thumbnail?id=1g4-oTPZyQqs5FOBJyniHUBmCup4xsKTu,https://agora.xtec.cat/ceipmilagrosconsarnau,,"933310547, 933310547",a8019231@xtec.cat,,,BCO02,08870210
08019241,41.361165057,2.133502345,Escola Frederic Mistral,"c. Arquitectura, 10 - 08908 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolafmistral,https://drive.google.com/thumbnail?id=1n-l3-DknCCMnaeU_cLVbnUQGLqH38fNv,https://agora.xtec.cat/escolafmistral,,"933324639, 933324639",a8019241@xtec.cat,@escolafmistral,,BCO02,08870210
08019265,41.367133675,2.110404164,Escola Joaquim Ruyra,"c. Llorer, s/n - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",http://www.joaquimruyra.cat,https://drive.google.com/thumbnail?id=1Za7GuNt2PaOIylHBYxCok5tH-VcnGLAL,,http://www.joaquimruyra.cat,"934406344, 934406344",a8019265@xtec.cat,@joaquimruyra,joaquimruyra,BCO02,08870210
08019277,41.352927787,2.109557466,Escola La Marina,rbla. de la Marina 408 - 08907 L'Hospitalet de Llobregat,L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escolamarina,https://drive.google.com/thumbnail?id=1aGSStZ083PFQvZaDYA0BV_JyMIwpFb8i,https://agora.xtec.cat/escolamarina,,"933355846, 933355846",a8019277@xtec.cat,,,BCO02,08870210
08019290,41.368510245,2.129703913,Escola Provençana,c. Martín Codolar 46-48-50 - 08902 L'Hospitalet de Llobregat,L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,ESC,"EINF2C,EPRI",https://sites.google.com/a/xtec.cat/escola-provencana-l-h,https://drive.google.com/thumbnail?id=1jANDWvGKdi_GTOWd-iZCok9pjZ8-JG5x,,https://sites.google.com/a/xtec.cat/escola-provencana-l-h,"933312398, 933312398",a8019290@xtec.cat,,,BCO02,08870210
08019307,41.365117318,2.127406236,Institut Santa Eulàlia,"pl. Pius XII, s/n - 08902 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,INS,"ESO,BATX",https://agora.xtec.cat/ies-santa-eulalia,https://drive.google.com/thumbnail?id=1urMrenMDL_ytryiR-fVEIlFSeCXz06nS,https://agora.xtec.cat/ies-santa-eulalia,,"933314598, 932964303",a8019307@xtec.cat,,,BCO02,08870210
08019319,41.372850821,2.112167923,Institut Pedraforca,"c. Enginyer Moncunill, 2 - 08905 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,INS,"ESO,BATX,CFPM,CFPS",http://www.institutpedraforca.com,https://drive.google.com/thumbnail?id=1AuhGRrmOUxggvF8aIGCFISCg7ls-VIHc,,http://www.institutpedraforca.com,"934494714, 934409754",a8019319@xtec.cat,,,BCO02,08870210
08019320,41.366551402,2.101408388,Institut Torras i Bages,"av. Can Serra, 101 - 08906 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,INS,"ESO,BATX",https://agora.xtec.cat/instorrasibages,https://drive.google.com/thumbnail?id=1Gcbm2GZENTuaGIBiq__3MwtG7s1I9wSC,https://agora.xtec.cat/instorrasibages,,"934379125, 934388089",a8019320@xtec.cat,,,BCO02,08870210
08019368,41.374268865,2.111529357,Escola Pere Lliscart,"pl. Cadí, s/n - 08904 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,BAIXA,,,,,,,,,,BCO02,08870210
08019371,41.363936047,2.114574735,Institut Llobregat,"c. Enric Prat de la Riba, 11-17 - 08901 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,INS,"ESO,BATX,CFPM,CFPS,PFI",http://www.iesllobregat.cat,https://drive.google.com/thumbnail?id=1TL1OIxJdf_dIBJpY09ifHKwcrR9jMBd2,,http://www.iesllobregat.cat,"933371805, 933380246",a8019371@xtec.cat,,,BCO02,08870210
08019401,41.363246699,2.114667288,Institut Provençana,"c. de Sant Pius X, 8 - 08901 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,INS,"CFPM,CFPS",http://www.ies-provenzana.com,https://drive.google.com/thumbnail?id=1PUNaQYE4KInNdK3G6AbhMEU1jbN-qq3D,,http://www.ies-provenzana.com,"933382553, 933375735",a8019401@xtec.cat,,,BCO02,08870210
08019411,41.352717518,2.114400002,Institut Bellvitge,"av. Amèrica, 99 - 08907 L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,,Barcelonès,BCO,SE Ciutat de l'Hospitalet de Llobregat,Públic,INS,"ESO,BATX,PFI",http://www.ibellvitge.net,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aaTFud01kSVFBZGs,,http://www.ibellvitge.net,"933358314, 933353291",a8019411@xtec.cat,@InstBellvitge,,BCO02,08870210
08019435,41.584133915,1.616429865,Escola García i Fossas,"Ctra. de Manresa, 65 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escgarciafossas,https://drive.google.com/thumbnail?id=1mMBUFgr8SHObfiyuxdte6_4s5a3hXbMM,https://agora.xtec.cat/escgarciafossas,,938030043,a8019435@xtec.cat,,,CCE01,08870301
08019459,41.57701346,1.631857684,Escola Gabriel Castella i Raich,"av. Montserrat, 38-40. - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Públic,ESC,"EINF2C,EPRI",http://www.xtec.cat/escola-gabriel-castella,https://drive.google.com/thumbnail?id=1ZokovLMZ1tNTrnESHLmxxQpJKt6VkAH7,,http://www.xtec.cat/escola-gabriel-castella,"938033706, 938033706",a8019459@xtec.cat,,,CCE01,08870301
08019460,41.582207064,1.60288634,Escola Emili Vallès,"av. Emili Vallès, 2 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Públic,ESC,"EINF2C,EPRI",https://agora.xtec.cat/escemilivalles,https://drive.google.com/thumbnail?id=1D0Gw8_v6Itf_oIuk1-glliEF3xSblVd9,https://agora.xtec.cat/escemilivalles,,"938035658, 938035658",a8019460@xtec.cat,,,CCE01,08870301
08019472,41.582106686,1.612629678,Àuria,"c. Cervantes, 35 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,EE,EE,,,,,938 043 262,a8019472@xtec.cat,,,CCE01,08870301
08019484,41.586283967,1.61890341,Monalco,"c. Capellades, 2 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",https://www.monalco.cat,https://drive.google.com/thumbnail?id=10D_2m6tsR7fGIvJrqi0i2sbEwofW2iji,,https://www.monalco.cat,"938031577, 938039377",a8019484@xtec.cat,@colmonalco,colmonalco,CCE01,08870301
08019502,41.580438034,1.610369155,Escola Pia d'Igualada,"pl. Castells, 10 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,IE,"EINF1C,EINF2C,EPRI,ESO,BATX,PFI,ADULTS",https://epiaigualada.cat,https://drive.google.com/thumbnail?id=1ApWyluXcNuXdNd__qfC-W9okGst4IXNv,,https://epiaigualada.cat,"938032700, 938052736",a8019502@xtec.cat,@epiaigualada,escolapiaigualada,CCE01,08870301
08019514,41.581656062,1.625330159,Jesús Maria,"c. Florenci Valls i Palet, 104 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,ESC,"EINF1C,EINF2C,EPRI",https://jesus-maria.cat,https://drive.google.com/thumbnail?id=1EWWohSqzR69qt20ITSHrPyQMbNN1ECay,,https://jesus-maria.cat,"938032249, 938054854",a8019514@xtec.cat,,,CCE01,08870301
08019541,41.593030711,1.619426959,Maristes Igualada,"c. de Salvador Espriu, 10 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,IE,"EINF1C,EINF2C,EPRI,ESO",http://www.igualada.maristes.cat,https://drive.google.com/thumbnail?id=1ZdoklyckuaiII97vbxHcIaphyEQMF-HK,,http://www.igualada.maristes.cat,"938055575, 938050419",a8019541@xtec.cat,@igdmaristes,maristesigualada,CCE01,08870301
08019551,41.584241848,1.624663586,Igualada,"c. Sant Josep, 110-112 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,IE,"EINF2C,EPRI,ESO,BATX,CFPM,CFPS,ADULTS",,,,,"938031494, 938044950",a8019551@xtec.cat,,,CCE01,08870301
08019575,41.578733189,1.620442512,Escolàpies Igualada,"c. Vidre, 1 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,ESC,"EINF1C,EINF2C,EPRI",https://escolapiesigualada.org,https://drive.google.com/thumbnail?id=0B8jl-qNBtH8aZUpnd1Rzd21SZ0U,,https://escolapiesigualada.org,"938030409, 938054464",a8019575@xtec.cat,@EscolapiesIGLD,escolapiesigualada,CCE01,08870301
08019599,41.578437817,1.615287515,Mare del Diví Pastor,"c. Santa Anna, 2 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,ESC,"EINF1C,EINF2C,EPRI",http://escolesmdp.org/igualada,https://drive.google.com/thumbnail?id=1_2Fg0LoSHWezEeuWK1u4MbivKCX-8dHF,,http://escolesmdp.org/igualada,"938031731, 938050578",a8019599@xtec.cat,@MDPIgualada,,CCE01,08870301
08019617,41.579198548,1.625959518,Mowgli,"pg. Mossén Jacint Verdaguer, 132 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Privat,ESC,"EINF1C,EINF2C,EPRI",https://www.escolamowgli.cat,https://drive.google.com/thumbnail?id=1KqL1I-74oxcfYNZ7O9v-BZJIBnlDB2WC,,https://www.escolamowgli.cat,"938035715, 938039632",a8019617@xtec.cat,,,CCE01,08870301
08019630,41.58418756,1.600997152,Institut Pere Vives i Vich,"av. Emili Vallès, 17 - 08700 Igualada",Igualada,,Anoia,CCE,SE de l'Anoia,Públic,INS,"ESO,BATX",https://agora.xtec.cat/ies-pere-vives,https://drive.google.com/thumbnail?id=1HR7xqCL3n22IRnwT6a1z_WagsS4POCew,https://agora.xtec.cat/ies-pere-vives,http://www.institutperevives.cat,"938031599, 938050370",a8019630@xtec.cat,@VivesVich,institutperevivesvich,CCE01,08870301
